tag,true_label,omega_step,load_profile,seed,cp_prediction,prediction_set,max_probability,final_decision,fault_evidence,slow_gate_open,transient_gate_open,max_E_bar,transient_score
20260301_204447_w60_lp0_seed0_healthy_r0,healthy,60.0,0,0,ld_mismatch,ld_mismatch,0.7508044363243145,uncertain,0,0,0,4.160014112599099,-3.1742521448269336
20260301_204447_w60_lp0_seed0_healthy_r1,healthy,60.0,0,0,healthy,healthy,0.9974285714285714,healthy,0,0,0,3.805863236647038,-3.2526032732794823
20260301_204447_w60_lp0_seed0_healthy_r2,healthy,60.0,0,0,healthy,healthy,1.0,healthy,0,0,0,3.850069693935808,-3.238901444789734
20260301_204447_w60_lp0_seed0_rs_drift_p02,rs_drift,60.0,0,0,rs_drift,rs_drift,1.0,rs_drift,1,1,1,270.82905911188556,-0.54979218702016
20260301_204447_w60_lp0_seed0_rs_drift_p05,rs_drift,60.0,0,0,rs_drift,rs_drift,1.0,rs_drift,1,1,1,1635.9235357984253,2.4844387839373296
20260301_204447_w60_lp0_seed0_rs_drift_p08,rs_drift,60.0,0,0,rs_drift,rs_drift,1.0,rs_drift,1,1,1,4181.941235746679,4.259340064216635
20260301_204447_w60_lp0_seed0_rs_drift_p10,rs_drift,60.0,0,0,rs_drift,rs_drift,1.0,rs_drift,1,1,1,6532.394861842428,5.1211435980449735
20260301_204447_w60_lp0_seed0_rs_drift_p15,rs_drift,60.0,0,0,rs_drift,rs_drift,1.0,rs_drift,1,1,1,14695.997435228914,6.699652018167065
20260301_204447_w60_lp0_seed0_rs_drift_p20,rs_drift,60.0,0,0,rs_drift,rs_drift,1.0,rs_drift,1,1,1,26133.01449107273,7.821931020322966
20260301_204447_w60_lp0_seed0_rs_drift_p30,rs_drift,60.0,0,0,rs_drift,rs_drift,1.0,rs_drift,1,1,1,58844.237043796114,9.398223701310261
20260301_204447_w60_lp0_seed0_rs_drift_p40,rs_drift,60.0,0,0,rs_drift,rs_drift,1.0,rs_drift,1,1,1,104691.37872040602,10.508372243575447
20260301_204447_w60_lp0_seed0_ld_mismatch_m20,ld_mismatch,60.0,0,0,ld_mismatch,ld_mismatch,0.7508044363243145,uncertain,0,0,0,4.160014112599099,-3.1742521448269336
20260301_204447_w60_lp0_seed0_ld_mismatch_m10,ld_mismatch,60.0,0,0,ld_mismatch,ld_mismatch,0.7508044363243145,uncertain,0,0,0,4.160014112599099,-3.1742521448269336
20260301_204447_w60_lp0_seed0_ld_mismatch_m05,ld_mismatch,60.0,0,0,ld_mismatch,ld_mismatch,0.7508044363243145,uncertain,0,0,0,4.160014112599099,-3.1742521448269336
20260301_204447_w60_lp0_seed0_ld_mismatch_p05,ld_mismatch,60.0,0,0,ld_mismatch,ld_mismatch,0.7508044363243145,uncertain,0,0,0,4.160014112599099,-3.1742521448269336
20260301_204447_w60_lp0_seed0_ld_mismatch_p10,ld_mismatch,60.0,0,0,ld_mismatch,ld_mismatch,0.7508044363243145,uncertain,0,0,0,4.160014112599099,-3.1742521448269336
20260301_204447_w60_lp0_seed0_ld_mismatch_p20,ld_mismatch,60.0,0,0,ld_mismatch,ld_mismatch,0.7508044363243145,uncertain,0,0,0,4.160014112599099,-3.1742521448269336
20260301_204447_w60_lp0_seed1_healthy_r0,healthy,60.0,0,1,ld_mismatch,ld_mismatch,0.763040183849165,uncertain,0,0,0,3.9641265267672168,-3.1808071399751663
20260301_204447_w60_lp0_seed1_healthy_r1,healthy,60.0,0,1,healthy,healthy,0.9699742288054728,healthy,0,0,0,3.8826952974280795,-3.1922417761582262
20260301_204447_w60_lp0_seed1_healthy_r2,healthy,60.0,0,1,healthy,healthy,0.9608226948799823,healthy,1,1,0,3.9808551737340894,-3.1392347687831608
20260301_204447_w60_lp0_seed1_rs_drift_p02,rs_drift,60.0,0,1,rs_drift,rs_drift,1.0,rs_drift,1,1,1,268.6838962709654,-0.5387232317800666
20260301_204447_w60_lp0_seed1_rs_drift_p05,rs_drift,60.0,0,1,rs_drift,rs_drift,1.0,rs_drift,1,1,1,1643.0385269324063,2.4879686866723567
20260301_204447_w60_lp0_seed1_rs_drift_p08,rs_drift,60.0,0,1,rs_drift,rs_drift,1.0,rs_drift,1,1,1,4189.361615009825,4.261057436030993
20260301_204447_w60_lp0_seed1_rs_drift_p10,rs_drift,60.0,0,1,rs_drift,rs_drift,1.0,rs_drift,1,1,1,6540.071567646604,5.122329020070834
20260301_204447_w60_lp0_seed1_rs_drift_p15,rs_drift,60.0,0,1,rs_drift,rs_drift,1.0,rs_drift,1,1,1,14703.975765626436,6.7001982459023415
20260301_204447_w60_lp0_seed1_rs_drift_p20,rs_drift,60.0,0,1,rs_drift,rs_drift,1.0,rs_drift,1,1,1,26136.149837273442,7.822190632353954
20260301_204447_w60_lp0_seed1_rs_drift_p30,rs_drift,60.0,0,1,rs_drift,rs_drift,1.0,rs_drift,1,1,1,58845.47502011101,9.398221803625267
20260301_204447_w60_lp0_seed1_rs_drift_p40,rs_drift,60.0,0,1,rs_drift,rs_drift,1.0,rs_drift,1,1,1,104689.1787759539,10.508251456314909
20260301_204447_w60_lp0_seed1_ld_mismatch_m20,ld_mismatch,60.0,0,1,ld_mismatch,ld_mismatch,0.763040183849165,uncertain,0,0,0,3.9641265267672168,-3.1808071399751663
20260301_204447_w60_lp0_seed1_ld_mismatch_m10,ld_mismatch,60.0,0,1,ld_mismatch,ld_mismatch,0.763040183849165,uncertain,0,0,0,3.9641265267672168,-3.1808071399751663
20260301_204447_w60_lp0_seed1_ld_mismatch_m05,ld_mismatch,60.0,0,1,ld_mismatch,ld_mismatch,0.763040183849165,uncertain,0,0,0,3.9641265267672168,-3.1808071399751663
20260301_204447_w60_lp0_seed1_ld_mismatch_p05,ld_mismatch,60.0,0,1,ld_mismatch,ld_mismatch,0.763040183849165,uncertain,0,0,0,3.9641265267672168,-3.1808071399751663
20260301_204447_w60_lp0_seed1_ld_mismatch_p10,ld_mismatch,60.0,0,1,ld_mismatch,ld_mismatch,0.763040183849165,uncertain,0,0,0,3.9641265267672168,-3.1808071399751663
20260301_204447_w60_lp0_seed1_ld_mismatch_p20,ld_mismatch,60.0,0,1,ld_mismatch,ld_mismatch,0.763040183849165,uncertain,0,0,0,3.9641265267672168,-3.1808071399751663
20260301_204447_w60_lp0_seed2_healthy_r0,healthy,60.0,0,2,ld_mismatch,ld_mismatch,0.7541215475324702,uncertain,0,0,0,4.017754469134189,-3.208469153119901
20260301_204447_w60_lp0_seed2_healthy_r1,healthy,60.0,0,2,healthy,healthy,0.9965244998903535,healthy,0,0,0,3.9351031752263976,-3.165275978776185
20260301_204447_w60_lp0_seed2_healthy_r2,healthy,60.0,0,2,healthy,healthy,0.993100532925721,healthy,0,0,0,3.9228478032456744,-3.1821261382094805
20260301_204447_w60_lp0_seed2_rs_drift_p02,rs_drift,60.0,0,2,rs_drift,rs_drift,1.0,rs_drift,1,1,1,268.30560893858325,-0.5827909229769022
20260301_204447_w60_lp0_seed2_rs_drift_p05,rs_drift,60.0,0,2,rs_drift,rs_drift,1.0,rs_drift,1,1,1,1644.9029959968998,2.4702196251325805
20260301_204447_w60_lp0_seed2_rs_drift_p08,rs_drift,60.0,0,2,rs_drift,rs_drift,1.0,rs_drift,1,1,1,4197.265399677222,4.250797646340755
20260301_204447_w60_lp0_seed2_rs_drift_p10,rs_drift,60.0,0,2,rs_drift,rs_drift,1.0,rs_drift,1,1,1,6552.452952374028,5.114413369355587
20260301_204447_w60_lp0_seed2_rs_drift_p15,rs_drift,60.0,0,2,rs_drift,rs_drift,1.0,rs_drift,1,1,1,14729.266648655293,6.695214192516293
20260301_204447_w60_lp0_seed2_rs_drift_p20,rs_drift,60.0,0,2,rs_drift,rs_drift,1.0,rs_drift,1,1,1,26178.61572264153,7.818573663559894
20260301_204447_w60_lp0_seed2_rs_drift_p30,rs_drift,60.0,0,2,rs_drift,rs_drift,1.0,rs_drift,1,1,1,58909.552162430096,9.395899956626792
20260301_204447_w60_lp0_seed2_rs_drift_p40,rs_drift,60.0,0,2,rs_drift,rs_drift,1.0,rs_drift,1,1,1,104775.7061163607,10.50655056996834
20260301_204447_w60_lp0_seed2_ld_mismatch_m20,ld_mismatch,60.0,0,2,ld_mismatch,ld_mismatch,0.7541215475324702,uncertain,0,0,0,4.017754469134189,-3.208469153119901
20260301_204447_w60_lp0_seed2_ld_mismatch_m10,ld_mismatch,60.0,0,2,ld_mismatch,ld_mismatch,0.7541215475324702,uncertain,0,0,0,4.017754469134189,-3.208469153119901
20260301_204447_w60_lp0_seed2_ld_mismatch_m05,ld_mismatch,60.0,0,2,ld_mismatch,ld_mismatch,0.7541215475324702,uncertain,0,0,0,4.017754469134189,-3.208469153119901
20260301_204447_w60_lp0_seed2_ld_mismatch_p05,ld_mismatch,60.0,0,2,ld_mismatch,ld_mismatch,0.7541215475324702,uncertain,0,0,0,4.017754469134189,-3.208469153119901
20260301_204447_w60_lp0_seed2_ld_mismatch_p10,ld_mismatch,60.0,0,2,ld_mismatch,ld_mismatch,0.7541215475324702,uncertain,0,0,0,4.017754469134189,-3.208469153119901
20260301_204447_w60_lp0_seed2_ld_mismatch_p20,ld_mismatch,60.0,0,2,ld_mismatch,ld_mismatch,0.7541215475324702,uncertain,0,0,0,4.017754469134189,-3.208469153119901
