tag,true_label,cp_prediction,prediction_set,final_decision,fault_evidence,slow_gate_open,transient_gate_open,max_E_bar,transient_score
20260301_204447_w40_lp0_seed0_healthy_r0,healthy,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.156414140692143,-3.174252144826933
20260301_204447_w40_lp0_seed0_healthy_r1,healthy,healthy,healthy,healthy,0,0,0,3.802596003945644,-3.2526032732794823
20260301_204447_w40_lp0_seed0_healthy_r2,healthy,healthy,healthy,healthy,0,0,0,3.8465221209283467,-3.238901444789734
20260301_204447_w40_lp0_seed0_rs_drift_p02,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,295.0104787872228,-1.0191502442794775
20260301_204447_w40_lp0_seed0_rs_drift_p05,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,1788.7964941245798,1.6427718330236019
20260301_204447_w40_lp0_seed0_rs_drift_p08,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,4573.570704347602,3.3235903976152
20260301_204447_w40_lp0_seed0_rs_drift_p10,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,7144.6415366110905,4.160504713277528
20260301_204447_w40_lp0_seed0_rs_drift_p15,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,16075.489561737339,5.714171656866557
20260301_204447_w40_lp0_seed0_rs_drift_p20,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,28591.05326608534,6.82897496985753
20260301_204447_w40_lp0_seed0_rs_drift_p30,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,64391.628153499354,8.403117449801632
20260301_204447_w40_lp0_seed0_rs_drift_p40,rs_drift,rs_drift,rs_drift,rs_drift,1,1,1,114582.92918081852,9.515777131497478
20260301_204447_w40_lp0_seed0_ld_mismatch_m20,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.156414140692143,-3.174252144826933
20260301_204447_w40_lp0_seed0_ld_mismatch_m10,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.156414140692143,-3.174252144826933
20260301_204447_w40_lp0_seed0_ld_mismatch_m05,ld_mismatch,ld_mismatch,ld_mismatch,uncertain,0,0,0,4.156414140692143,-3.174252144826933
