tag,true_label,cp_prediction,prediction_set,max_probability,final_decision,fault_evidence,slow_gate_open,transient_gate_open,max_E_bar,transient_score,split_seed
20260301_204447_w40_lp1_seed2_healthy_r0,healthy,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.0154563877481095,-3.208469153119901,0
20260301_204447_w40_lp1_seed2_healthy_r1,healthy,healthy,healthy,0.9783639692975541,healthy,0,0,0,3.9318617215313956,-3.165275978776185,0
20260301_204447_w40_lp1_seed2_healthy_r2,healthy,healthy,healthy,0.9420590027160667,healthy,0,0,0,3.9211348914858375,-3.18212613820948,0
20260301_204447_w40_lp1_seed2_rs_drift_p02,rs_drift,rs_drift,rs_drift,0.99,rs_drift,1,1,1,203.77211965946597,-1.598307117918182,0
20260301_204447_w40_lp1_seed2_rs_drift_p05,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,1243.92195835939,0.7945568804301061,0
20260301_204447_w40_lp1_seed2_rs_drift_p08,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,3171.660368743511,2.4003427644259565,0
20260301_204447_w40_lp1_seed2_rs_drift_p10,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,4950.477532910017,3.2166566645323322,0
20260301_204447_w40_lp1_seed2_rs_drift_p15,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,11127.77714125868,4.749639216600388,0
20260301_204447_w40_lp1_seed2_rs_drift_p20,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,19782.670525841215,5.858142556804509,0
20260301_204447_w40_lp1_seed2_rs_drift_p30,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,44544.59927002879,7.429842895208819,0
20260301_204447_w40_lp1_seed2_rs_drift_p40,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,79279.99131563681,8.543369724588569,0
20260301_204447_w40_lp1_seed2_ld_mismatch_m20,ld_mismatch,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.0154563877481095,-3.208469153119901,0
20260301_204447_w40_lp1_seed2_ld_mismatch_m10,ld_mismatch,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.0154563877481095,-3.208469153119901,0
20260301_204447_w40_lp1_seed2_ld_mismatch_m05,ld_mismatch,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.0154563877481095,-3.208469153119901,0
20260301_204447_w40_lp1_seed2_ld_mismatch_p05,ld_mismatch,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.0154563877481095,-3.208469153119901,0
20260301_204447_w40_lp1_seed2_ld_mismatch_p10,ld_mismatch,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.0154563877481095,-3.208469153119901,0
20260301_204447_w40_lp1_seed2_ld_mismatch_p20,ld_mismatch,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.0154563877481095,-3.208469153119901,0
20260301_204447_w50_lp0_seed2_healthy_r0,healthy,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.015456387748112,-3.208469153119901,0
20260301_204447_w50_lp0_seed2_healthy_r1,healthy,healthy,healthy,0.9783639692975541,healthy,0,0,0,3.9318617215313956,-3.165275978776185,0
20260301_204447_w50_lp0_seed2_healthy_r2,healthy,healthy,healthy,0.9420590027160667,healthy,0,0,0,3.9211348914858375,-3.1821261382094805,0
20260301_204447_w50_lp0_seed2_rs_drift_p02,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,279.7540980833137,-0.818491108969926,0
20260301_204447_w50_lp0_seed2_rs_drift_p05,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,1716.1876847278293,2.083266487740954,0
20260301_204447_w50_lp0_seed2_rs_drift_p08,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,4379.852160715899,3.8320335878741227,0
20260301_204447_w50_lp0_seed2_rs_drift_p10,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,6837.810479629991,4.68780667904243,0
20260301_204447_w50_lp0_seed2_rs_drift_p15,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,15371.95247284941,6.261277911391005,0
20260301_204447_w50_lp0_seed2_rs_drift_p20,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,27322.556385883614,7.38278432641124,0
20260301_204447_w50_lp0_seed2_rs_drift_p30,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,61490.4603523575,8.960262013308562,0
20260301_204447_w50_lp0_seed2_rs_drift_p40,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,109376.66411092764,10.072395039102624,0
20260301_204447_w50_lp0_seed2_ld_mismatch_m20,ld_mismatch,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.015456387748112,-3.208469153119901,0
20260301_204447_w50_lp0_seed2_ld_mismatch_m10,ld_mismatch,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.015456387748112,-3.208469153119901,0
20260301_204447_w50_lp0_seed2_ld_mismatch_m05,ld_mismatch,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.015456387748112,-3.208469153119901,0
20260301_204447_w50_lp0_seed2_ld_mismatch_p05,ld_mismatch,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.015456387748112,-3.208469153119901,0
20260301_204447_w50_lp0_seed2_ld_mismatch_p10,ld_mismatch,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.015456387748112,-3.208469153119901,0
20260301_204447_w50_lp0_seed2_ld_mismatch_p20,ld_mismatch,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.015456387748112,-3.208469153119901,0
20260301_204447_w50_lp1_seed2_healthy_r0,healthy,ld_mismatch,ld_mismatch,0.7648679936144663,uncertain,0,0,0,4.0154563877481095,-3.2084691531199008,0
20260301_204447_w50_lp1_seed2_healthy_r1,healthy,healthy,healthy,0.9783639692975541,healthy,0,0,0,3.9318617215313956,-3.165275978776185,0
20260301_204447_w50_lp1_seed2_healthy_r2,healthy,healthy,healthy,0.9420590027160667,healthy,0,0,0,3.9211348914858357,-3.1821261382094805,0
20260301_204447_w50_lp1_seed2_rs_drift_p02,rs_drift,rs_drift,rs_drift,1.0,rs_drift,1,1,1,194.3788802927179,-1.3862355176986314,0
