tag,fault_type,severity,omega_step,load_profile,seed,speed_error_rms,speed_error_mean_abs,speed_error_max_abs,residual_energy_mean,current_residual_energy_mean,r_id_rms,r_iq_rms,r_omega_rms,control_effort_rms,control_effort_mean,pi_effort_rms,pi_effort_mean
20260301_204447_w40_lp0_seed0_healthy_r0,healthy,0.0,40.0,0,0,6.924063488005578,6.414820170916182,9.032290845705074,0.00030087305024487294,0.00020122879765109385,0.01002418497133003,0.01003715663480724,0.009982196781960323,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed0_healthy_r1,healthy,0.0,40.0,0,0,6.923894126406831,6.414664760878513,9.034354704505432,0.0002965575254785893,0.00019678739416127323,0.00983892623643379,0.009999146197315447,0.009988499953312115,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed0_healthy_r2,healthy,0.0,40.0,0,0,6.923925951743807,6.414688933258707,9.03545797588264,0.00029591595153927836,0.00019559356834200975,0.009869420889431523,0.009908990849186533,0.010016106189396586,8.205145309896695,8.198402724508442,1.485468014248031,1.4719434734559897
20260301_204447_w40_lp0_seed0_rs_drift_p02,rs_drift,0.02,40.0,0,0,6.930084009868151,6.424164147205339,9.034392120803197,0.018441878588103044,0.00032612897875292866,0.011121522773048648,0.014228166078644466,0.13459476070542312,8.232350774726044,8.225812807170687,1.5150703792210614,1.5012587238217279
20260301_204447_w40_lp0_seed0_rs_drift_p05,rs_drift,0.05,40.0,0,0,6.939153787186864,6.438193621589859,9.03755674036572,0.11355458811018203,0.0009862652308244041,0.01575385767408945,0.027167649865399417,0.3355120309010656,8.273170074416651,8.266928539846127,1.5594879306502232,1.5452343982831653
20260301_204447_w40_lp0_seed0_rs_drift_p08,rs_drift,0.08,40.0,0,0,6.948270633568351,6.452239370240954,9.040736790036053,0.29016209114166885,0.0022048284833581272,0.021921529288348843,0.04152439086871945,0.5366164949554857,8.314002615913981,8.308044986532032,1.6039219661643729,1.5892134397032398
20260301_204447_w40_lp0_seed0_rs_drift_p10,rs_drift,0.1,40.0,0,0,6.95437483459566,6.4616122787139,9.04286549771864,0.4531828676845881,0.003322685218899351,0.026373126094458525,0.05125566738327716,0.6707161713166672,8.341231624292767,8.335456338693639,1.6335536650779243,1.6185346757260552
20260301_204447_w40_lp0_seed0_rs_drift_p15,rs_drift,0.15,40.0,0,0,6.969728075843227,6.485076469068164,9.048218082859137,1.0192571194580549,0.00716676041056559,0.037999500153311376,0.07564917976200455,1.0060270170564454,8.409329572084246,8.403986037576487,1.7076639285638662,1.6918443481489513
20260301_204447_w40_lp0_seed0_rs_drift_p20,rs_drift,0.2,40.0,0,0,6.98521496334162,6.508586522312382,9.053615485768919,1.8118509359720025,0.012478113043164669,0.04995002171549132,0.09991550617289899,1.341407031041972,8.477463573642085,8.472517555310016,1.781817846335091,1.765163456974848
20260301_204447_w40_lp0_seed0_rs_drift_p30,rs_drift,0.3,40.0,0,0,7.0165954751353645,6.555745550429095,9.06578164213526,4.076900415452475,0.027356057435901023,0.07424222853800662,0.14779766215204967,2.0123479714046906,8.613838553310957,8.609585731522719,1.9302546464946952,1.9118301444620904
20260301_204447_w40_lp0_seed0_rs_drift_p40,rs_drift,0.4,40.0,0,0,7.048527854452635,6.603092057375139,9.078634727260042,7.248950852364908,0.04768956201654523,0.09880005335700803,0.19475140942544572,2.6835165902875207,8.750354528918447,8.746660248519778,2.0788621508694565,2.0585350484202407
