metric,mean,std,min,max
baseline_accuracy,0.9411764705882353,0.0,0.9411764705882353,0.9411764705882353
baseline_macro_f1,0.9076923076923077,0.0,0.9076923076923077,0.9076923076923077
baseline_far,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
baseline_mdr,0.0,0.0,0.0,0.0
coverage,0.9411764705882353,0.0,0.9411764705882353,0.9411764705882353
avg_set_size,1.0,0.0,1.0,1.0
full_far,0.0,0.0,0.0,0.0
full_mdr,0.0,0.0,0.0,0.0
full_overall_uncertain,0.4117647058823529,0.0,0.4117647058823529,0.4117647058823529
full_healthy_uncertain,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
full_hard_fault_detection,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714
full_uncertain_fault_rate,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855
full_accepted_accuracy,1.0,0.0,1.0,1.0
full_safe_decision_rate,1.0,0.0,1.0,1.0
